日期,收盘价,信号,策略日收益,策略累计净值,市场累计净值
2025-01-03,241.81503295898438,0,-0.0,1.0,0.9979904908844737
2025-01-06,243.44461059570312,0,0.0,1.0,1.0047158915582983
2025-01-07,240.67234802246094,0,-0.0,1.0,0.9932745363519001
2025-01-08,241.15921020507812,0,0.0,1.0,0.9952838565446013
2025-01-10,235.34637451171875,0,-0.0,1.0,0.9712938064800526
2025-01-13,232.91192626953125,0,-0.0,1.0,0.961246638748071
2025-01-14,231.79904174804688,0,-0.0,1.0,0.9566536729745896
2025-01-15,236.35986328125,0,0.0,1.0,0.9754765578261277
2025-01-16,226.81088256835938,0,-0.0,1.0,0.936067130577159
2025-01-17,228.51995849609375,0,0.0,1.0,0.9431206272237788
2025-01-21,221.2265625,0,-0.0,1.0,0.91302018325514
2025-01-22,222.4090118408203,0,0.0,1.0,0.9179002487483859
2025-01-23,222.2401123046875,0,-0.0,1.0,0.9172031864983151
2025-01-24,221.3656768798828,0,-0.0,1.0,0.913594319720394
2025-01-27,228.40074157714844,0,0.0,1.0,0.9426286092131361
2025-01-28,236.74740600585938,0,0.0,1.0,0.9770759784627975
2025-01-29,237.84042358398438,0,0.0,1.0,0.9815869517302178
2025-01-30,236.08164978027344,0,-0.0,1.0,0.9743283478698948
2025-01-31,234.50177001953125,1,-0.0,1.0,0.9678080544097732
2025-02-03,226.56246948242188,1,-0.03385603672180437,0.9661439632781956,0.935041909380018
2025-02-04,231.3220672607422,1,0.021007882678863554,0.9864406023096363,0.9546851601120939
2025-02-05,230.9941864013672,1,-0.0014174214473252622,0.9850424002434102,0.9533319688907079
2025-02-06,231.73941040039062,1,0.003226159110898852,0.9882203037575771,0.9564075695078558
2025-02-07,226.1848907470703,0,-0.023968817577137314,0.9645338315707885,0.9334836109449287
2025-02-10,226.45346069335938,0,0.0,0.9645338315707885,0.9345920211593561
2025-02-11,231.3973388671875,0,0.0,0.9645338315707885,0.9549958122107115
2025-02-12,235.62501525878906,1,0.0,0.9645338315707885,0.9724437797159855
2025-02-13,240.26051330566406,1,0.01967319998593431,0.9835092985324801,0.9915748606694159
2025-02-14,243.3143768310547,1,0.012710634316781988,0.9960103255732813,1.004178406121099
2025-02-18,243.18507385253906,1,-0.0005314235032046755,0.9954810222768371,1.0036447621146756
2025-02-19,243.58294677734375,1,0.0016360910581458832,0.9971097198759381,1.0052868163355264
2025-02-20,244.5379180908203,1,0.003920517943111657,1.0010189064239627,1.0092280613369435
2025-02-21,244.2593994140625,1,-0.00113895905768846,0.9998787868735738,1.0080785918952104
2025-02-24,245.80123901367188,1,0.0063123040640729045,1.006190325803536,1.0144418904877355
2025-02-25,245.74156188964844,1,-0.00024278609930084016,1.00594603677918,1.0141955980981765
2025-02-26,239.09666442871094,1,-0.027040185672464467,0.9787450691681912,0.9867715608174057
2025-02-27,236.0527801513672,1,-0.012730768472311027,0.9662848922991949,0.9742092005415783
2025-02-28,240.56887817382812,1,0.01913172985958922,0.9847715938260654,0.9928475077930662
2025-03-03,236.77890014648438,1,-0.015754232451486216,0.969257273225309,0.9772059573664155
2025-03-04,234.68994140625,0,-0.008822402413990571,0.960706095518228,0.9685846531691801
2025-03-05,234.50096130371094,0,-0.0,0.960706095518228,0.9678047167731978
2025-03-06,234.09310913085938,0,-0.0,0.960706095518228,0.9661214773764913
2025-03-07,237.81344604492188,0,0.0,0.960706095518228,0.9814756132120025
2025-03-10,226.28436279296875,0,-0.0,0.960706095518228,0.9338941402437101
2025-03-11,219.6792755126953,0,-0.0,0.960706095518228,0.9066344028464369
2025-03-12,215.8395538330078,0,-0.0,0.960706095518228,0.890787556283258
2025-03-13,208.5779266357422,0,-0.0,0.960706095518228,0.8608182247551872
2025-03-14,212.36790466308594,0,0.0,0.960706095518228,0.8764597751818378
2025-03-17,212.87522888183594,0,0.0,0.960706095518228,0.8785535438773256
2025-03-18,211.5720977783203,0,-0.0,0.960706095518228,0.8731754148430362
2025-03-19,214.10870361328125,0,0.0,0.960706095518228,0.8836441953462008
2025-03-20,212.9746856689453,0,-0.0,0.960706095518228,0.8789640102018322
2025-03-21,217.1227569580078,0,0.0,0.960706095518228,0.8960834409143861
2025-03-24,219.56983947753906,0,0.0,0.960706095518228,0.9061827513460747
2025-03-25,222.573974609375,0,0.0,0.960706095518228,0.9185810636355045
2025-03-26,220.36563110351562,0,-0.0,0.960706095518228,0.9094670487106014
2025-03-27,222.67344665527344,0,0.0,0.960706095518228,0.918991592934286
2025-03-28,216.75473022460938,0,-0.0,0.960706095518228,0.8945645643754523
2025-03-31,220.96249389648438,0,0.0,0.960706095518228,0.9119303504518401
2025-04-01,222.0169219970703,1,0.0,0.960706095518228,0.9162820617777635
2025-04-02,222.71324157714844,1,0.0031363356171891787,0.9637191922632526,0.9191558298435086
2025-04-03,202.12203979492188,0,-0.09245611817424748,0.874617456736571,0.8341742498189487
2025-04-04,187.389892578125,0,-0.0,0.874617456736571,0.7733734689379386
2025-04-07,180.50625610351562,0,-0.0,0.874617456736571,0.7449641361503823
2025-04-08,171.51377868652344,0,-0.0,0.874617456736571,0.7078514436852543
2025-04-09,197.80484008789062,0,0.0,0.874617456736571,0.8163568122421988
2025-04-10,189.41915893554688,0,-0.0,0.874617456736571,0.7817484177713402
2025-04-11,197.1085205078125,0,0.0,0.874617456736571,0.8134830441764536
2025-04-14,201.45555114746094,0,0.0,0.874617456736571,0.8314235964608453
2025-04-15,201.07754516601562,0,-0.0,0.874617456736571,0.8298635347460558
2025-04-16,193.24891662597656,0,-0.0,0.874617456736571,0.7975541421329383
2025-04-17,195.94467163085938,0,0.0,0.874617456736571,0.8086797443244431
2025-04-21,192.14476013183594,0,-0.0,0.874617456736571,0.7929971976447618
2025-04-22,198.690185546875,0,0.0,0.874617456736571,0.8200107056267512
2025-04-23,203.52464294433594,0,0.0,0.874617456736571,0.8399629081520196
2025-04-24,207.27481079101562,0,0.0,0.874617456736571,0.8554401586951726
2025-04-25,208.18002319335938,1,0.0,0.874617456736571,0.8591760445857863
2025-04-28,209.03550720214844,1,0.004109347264288132,0.8782115635897101,0.8627066973141468
2025-04-29,210.0998992919922,1,0.005091920047891385,0.8826833466566426,0.8670995308416509
2025-04-30,211.38311767578125,1,0.006107658252637593,0.8880744748833158,0.8723954784470541
2025-05-01,212.19879150390625,1,0.003858746323233131,0.891501328998029,0.8757618312919169
2025-05-02,204.27069091796875,1,-0.03736166699984034,0.8581933532140895,0.8430419093800179
2025-05-05,197.8446502685547,1,-0.031458456524213974,0.8311959149226347,0.8165211121256962
2025-05-06,197.4666290283203,1,-0.001910697305796516,0.8296077511274029,0.8149609874366317
2025-05-07,195.21852111816406,1,-0.011384748507727971,0.8201628755207556,0.805682861551056
2025-05-08,196.45199584960938,0,0.006318430876231851,0.8253450179569851,0.810773513019931
2025-05-09,197.48654174804688,0,0.0,0.8253450179569851,0.8150431688655181
